Rank,Team,2020 1st-half-time-of-possession-share-pct
1,Green Bay,56.50%
2,San Francisco,55.33%
3,Baltimore,54.27%
4,LA Rams,54.14%
5,Atlanta,53.60%
6,LA Chargers,53.55%
7,Indianapolis,52.43%
8,Carolina,52.24%
9,Pittsburgh,52.16%
10,New Orleans,52.06%
11,Cincinnati,51.84%
12,NY Jets,51.45%
13,Philadelphia,51.35%
14,Cleveland,50.27%
15,Miami,49.83%
16,Buffalo,49.81%
17,Seattle,49.68%
18,Chicago,49.67%
19,Denver,49.56%
20,Kansas City,48.74%
21,Washington,48.48%
22,Tampa Bay,48.40%
23,Jacksonville,48.15%
24,New England,47.74%
25,Minnesota,47.23%
26,Las Vegas,47.01%
27,Arizona,46.34%
28,Houston,46.22%
29,Detroit,45.76%
30,Dallas,45.28%
31,Tennessee,45.05%
32,NY Giants,44.58%
