Rank,Team,2020 third-down-conversion-pct
1,Green Bay,50.97%
2,Baltimore,48.52%
3,Kansas City,48.02%
4,Buffalo,46.64%
5,New Orleans,46.61%
6,Las Vegas,45.96%
7,Tennessee,45.36%
8,Cleveland,44.84%
9,Tampa Bay,44.35%
10,LA Chargers,44.20%
11,Atlanta,43.89%
12,Houston,43.01%
13,Pittsburgh,42.86%
14,LA Rams,41.37%
15,Detroit,41.15%
16,Minnesota,40.88%
17,New England,40.86%
18,Indianapolis,40.65%
19,Jacksonville,40.58%
20,Dallas,40.47%
21,Washington,39.75%
22,Arizona,39.60%
23,San Francisco,39.09%
24,Carolina,38.97%
25,Denver,38.68%
26,Miami,38.61%
27,Seattle,38.42%
28,Philadelphia,37.27%
29,NY Giants,36.36%
30,Cincinnati,36.15%
31,NY Jets,33.98%
32,Chicago,33.49%
