Rank,Team,2020 time-of-possession-pct-net-of-ot
1,Green Bay,54.75%
2,New Orleans,52.97%
3,Baltimore,52.88%
4,LA Chargers,52.76%
5,LA Rams,52.76%
6,San Francisco,52.31%
7,Miami,52.13%
8,Indianapolis,51.95%
9,Carolina,51.65%
10,Pittsburgh,51.54%
11,Buffalo,51.50%
12,Cincinnati,51.39%
13,Atlanta,51.16%
14,Las Vegas,51.08%
15,Cleveland,51.02%
16,Kansas City,50.25%
17,Washington,49.75%
18,Chicago,49.56%
19,Minnesota,49.30%
20,Seattle,49.23%
21,Tampa Bay,48.50%
22,Denver,48.30%
23,New England,48.27%
24,Philadelphia,48.26%
25,Arizona,48.07%
26,NY Giants,47.83%
27,Dallas,47.27%
28,Tennessee,47.02%
29,Detroit,46.50%
30,NY Jets,46.50%
31,Jacksonville,46.34%
32,Houston,45.50%
