Rank,Team,2020 opponent-red-zone-scoring-attempts-per-game
1,Baltimore,2.7
2,San Francisco,2.8
3,Washington,2.8
4,LA Rams,2.9
5,Miami,2.9
6,Pittsburgh,2.9
7,New England,3.1
8,Kansas City,3.1
9,Green Bay,3.2
10,Indianapolis,3.2
11,Philadelphia,3.2
12,Tampa Bay,3.2
13,New Orleans,3.2
14,Chicago,3.4
15,Dallas,3.4
15,LA Chargers,3.4
17,Atlanta,3.5
17,Arizona,3.5
19,Seattle,3.5
20,Carolina,3.6
21,Cincinnati,3.6
21,Minnesota,3.6
23,NY Giants,3.7
24,NY Jets,3.8
25,Buffalo,3.8
26,Denver,3.8
27,Cleveland,3.9
28,Jacksonville,3.9
28,Houston,3.9
30,Tennessee,4.0
31,Detroit,4.1
32,Las Vegas,4.3
