Rank,Team,2020 opponent-red-zone-scoring-pct
1,Denver,47.54%
2,Washington,50.00%
3,NY Giants,50.85%
4,Arizona,51.79%
5,Pittsburgh,56.00%
6,Chicago,56.14%
7,Miami,57.45%
8,San Francisco,57.78%
9,LA Chargers,58.18%
10,Minnesota,58.62%
11,Tampa Bay,59.38%
12,LA Rams,59.62%
13,Green Bay,59.65%
14,NY Jets,60.00%
15,Baltimore,61.22%
16,Cleveland,61.43%
17,Seattle,61.67%
18,Las Vegas,61.76%
19,Dallas,61.82%
20,Buffalo,62.50%
21,Indianapolis,62.96%
22,Carolina,63.16%
23,Jacksonville,63.49%
23,Houston,63.49%
25,Cincinnati,63.79%
26,Atlanta,64.29%
27,Philadelphia,64.71%
28,New England,65.31%
29,New Orleans,65.52%
30,Tennessee,67.65%
31,Detroit,72.31%
32,Kansas City,72.88%
