Rank,Team,2020 opponent-offensive-point-share-pct
1,Atlanta,100.0%
1,New Orleans,100.0%
1,Buffalo,100.0%
4,Jacksonville,99.2%
5,Carolina,98.3%
6,Tennessee,98.1%
7,Houston,97.6%
8,Kansas City,97.5%
9,Philadelphia,97.4%
10,Cincinnati,96.7%
11,Seattle,96.6%
12,Chicago,96.5%
13,Washington,96.2%
14,Pittsburgh,96.1%
15,New England,96.0%
16,Detroit,96.0%
17,Las Vegas,95.6%
18,NY Giants,95.6%
19,Cleveland,95.2%
20,Tampa Bay,95.2%
21,NY Jets,95.0%
22,Green Bay,94.9%
23,LA Chargers,94.6%
24,Dallas,94.3%
25,Indianapolis,94.1%
26,Minnesota,93.3%
27,Arizona,93.3%
28,Miami,93.2%
29,Denver,92.9%
30,LA Rams,92.0%
31,Baltimore,91.7%
32,San Francisco,91.1%
