Rank,Team,2020 field-goal-conversion-pct-net-of-blocks
1,Green Bay,100.00%
1,Seattle,100.00%
3,NY Giants,96.88%
4,Pittsburgh,96.00%
5,Atlanta,95.00%
6,Tampa Bay,94.87%
7,Las Vegas,94.29%
8,Chicago,93.94%
9,New England,92.86%
10,Miami,92.31%
11,Kansas City,91.43%
12,Houston,87.10%
13,Denver,84.85%
13,LA Rams,84.85%
15,San Francisco,84.62%
15,Cleveland,84.62%
15,Indianapolis,84.62%
18,Dallas,82.93%
19,Carolina,82.86%
19,Baltimore,82.86%
21,Buffalo,81.40%
22,NY Jets,80.77%
23,New Orleans,80.65%
24,Washington,80.00%
25,Cincinnati,79.41%
26,Arizona,79.31%
27,Tennessee,78.57%
28,Detroit,75.00%
28,Jacksonville,75.00%
28,LA Chargers,75.00%
31,Philadelphia,73.68%
32,Minnesota,68.18%
