Rank,Team,2020 opponent-field-goal-conversion-pct-net-of-blocks
1,Baltimore,65.52%
2,Miami,73.91%
3,Kansas City,77.42%
4,Jacksonville,79.49%
5,Detroit,80.00%
6,Chicago,82.86%
6,NY Jets,82.86%
8,Houston,83.33%
8,Arizona,83.33%
10,Buffalo,83.87%
11,Indianapolis,84.00%
12,Seattle,84.21%
13,Pittsburgh,84.62%
13,New England,84.62%
15,Tampa Bay,85.29%
16,Atlanta,85.71%
17,Las Vegas,86.49%
18,Cincinnati,86.84%
19,Cleveland,87.10%
19,Philadelphia,87.10%
21,LA Chargers,87.50%
22,Dallas,88.89%
22,NY Giants,88.89%
24,San Francisco,89.19%
25,New Orleans,89.66%
25,LA Rams,89.66%
25,Green Bay,89.66%
28,Washington,90.32%
29,Tennessee,92.00%
30,Minnesota,92.11%
31,Carolina,93.55%
32,Denver,95.12%
