Rank,Team,2020 opponent-time-of-possession-pct-net-of-ot
1,Green Bay,45.25%
2,New Orleans,47.03%
3,Baltimore,47.12%
4,LA Chargers,47.24%
5,LA Rams,47.24%
6,San Francisco,47.69%
7,Miami,47.87%
8,Indianapolis,48.05%
9,Carolina,48.35%
10,Pittsburgh,48.46%
11,Buffalo,48.50%
12,Cincinnati,48.61%
13,Atlanta,48.84%
14,Las Vegas,48.92%
15,Cleveland,48.98%
16,Kansas City,49.75%
17,Washington,50.25%
18,Chicago,50.44%
19,Minnesota,50.70%
20,Seattle,50.77%
21,Tampa Bay,51.50%
22,Denver,51.70%
23,New England,51.73%
24,Philadelphia,51.74%
25,Arizona,51.93%
26,NY Giants,52.17%
27,Dallas,52.73%
28,Tennessee,52.98%
29,Detroit,53.50%
30,NY Jets,53.50%
31,Jacksonville,53.66%
32,Houston,54.50%
