Rank,Team,2020 field-goal-conversion-pct
1,Green Bay,100.00%
1,Seattle,100.00%
3,NY Giants,96.88%
4,Pittsburgh,96.00%
5,Atlanta,95.00%
6,Las Vegas,94.29%
7,Chicago,93.94%
8,New England,92.86%
9,Tampa Bay,92.50%
10,Miami,92.31%
11,Kansas City,91.43%
12,Houston,87.10%
13,San Francisco,84.62%
13,Indianapolis,84.62%
15,Dallas,82.93%
16,Baltimore,82.86%
17,LA Rams,82.35%
18,Cleveland,81.48%
19,Buffalo,81.40%
20,New Orleans,80.65%
21,Carolina,80.56%
22,Washington,80.00%
22,Denver,80.00%
24,Cincinnati,79.41%
25,Arizona,76.67%
26,Detroit,75.00%
26,NY Jets,75.00%
28,Philadelphia,73.68%
29,Tennessee,73.33%
30,LA Chargers,72.73%
31,Jacksonville,72.00%
32,Minnesota,68.18%
