Rank,Team,2020 extra-point-conversion-pct
1,Miami,100.00%
2,New Orleans,98.41%
3,Baltimore,98.18%
4,Arizona,97.83%
5,Chicago,97.30%
6,Cincinnati,96.97%
7,Tennessee,96.30%
8,Las Vegas,95.74%
9,Indianapolis,95.65%
10,Buffalo,95.38%
11,San Francisco,95.00%
12,Washington,94.12%
13,Green Bay,94.03%
14,Seattle,92.73%
15,Detroit,92.68%
16,Houston,92.50%
17,LA Chargers,92.31%
17,Philadelphia,92.31%
19,Dallas,91.67%
19,Carolina,91.67%
21,Pittsburgh,91.49%
22,Tampa Bay,91.43%
23,NY Giants,91.30%
23,LA Rams,91.30%
25,Cleveland,91.07%
26,New England,90.91%
27,Atlanta,89.47%
28,Kansas City,88.52%
29,Minnesota,86.05%
30,Jacksonville,85.71%
31,NY Jets,83.33%
31,Denver,83.33%
