Rank,Team,2020 opponent-field-goal-conversion-pct
1,Baltimore,65.52%
2,Miami,73.91%
3,Kansas City,75.00%
4,Jacksonville,79.49%
5,Detroit,80.00%
6,Chicago,80.56%
7,Houston,80.65%
8,New England,81.48%
9,Las Vegas,82.05%
10,NY Jets,82.86%
11,Arizona,83.33%
12,Buffalo,83.87%
13,Indianapolis,84.00%
14,Seattle,84.21%
15,Cleveland,84.38%
15,Philadelphia,84.38%
17,Pittsburgh,84.62%
18,Tampa Bay,85.29%
19,Atlanta,85.71%
20,New Orleans,86.67%
20,LA Rams,86.67%
22,Cincinnati,86.84%
23,LA Chargers,87.50%
24,Tennessee,88.46%
25,Dallas,88.89%
25,NY Giants,88.89%
27,San Francisco,89.19%
28,Green Bay,89.66%
29,Minnesota,89.74%
30,Washington,90.32%
31,Denver,92.86%
32,Carolina,93.55%
