Rank,Team,2020 opp-overtime-points-per-game
1,Dallas,0.0
1,Atlanta,0.0
1,Washington,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Detroit,0.0
1,San Francisco,0.0
1,NY Jets,0.0
1,Miami,0.0
1,Tennessee,0.0
1,Cleveland,0.0
1,Tampa Bay,0.0
1,Arizona,0.0
1,New England,0.0
1,Kansas City,0.0
1,Denver,0.0
1,Buffalo,0.0
1,Carolina,0.0
1,NY Giants,0.0
1,LA Rams,0.0
1,Cincinnati,0.0
1,Philadelphia,0.0
1,Minnesota,0.0
1,Indianapolis,0.0
25,Green Bay,0.2
26,Chicago,0.2
26,Seattle,0.2
28,Jacksonville,0.2
29,Baltimore,0.3
30,Las Vegas,0.4
30,Houston,0.4
32,LA Chargers,0.6
