Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tampa Bay,78.47%,71.13%,70.46%,88.53%,69.55%,75.96%
2,Miami,75.48%,72.04%,80.53%,74.71%,76.29%,69.96%
3,LA Chargers,75.34%,74.73%,79.10%,79.31%,72.30%,72.35%
4,Cincinnati,73.77%,67.01%,71.12%,71.23%,75.83%,72.06%
5,Kansas City,73.30%,69.11%,73.23%,75.44%,70.90%,70.78%
6,LA Rams,71.51%,58.23%,41.41%,77.73%,63.40%,74.37%
7,Minnesota,70.80%,72.90%,84.08%,68.43%,73.89%,68.71%
8,Indianapolis,68.73%,57.94%,62.07%,73.98%,63.24%,56.96%
9,Houston,68.30%,78.79%,82.86%,65.00%,70.59%,69.92%
10,New Orleans,67.41%,76.59%,75.77%,59.82%,74.96%,61.54%
11,Denver,67.32%,68.15%,50.81%,64.79%,69.52%,63.96%
12,New England,67.10%,78.48%,75.21%,65.80%,68.27%,64.52%
13,Buffalo,66.82%,58.04%,62.82%,69.85%,65.04%,66.31%
14,Seattle,66.40%,75.65%,82.53%,70.58%,63.43%,62.33%
15,Las Vegas,66.22%,63.70%,50.87%,62.41%,68.31%,73.82%
16,Arizona,65.67%,66.67%,50.55%,62.47%,68.73%,67.30%
17,San Francisco,65.31%,62.24%,69.72%,65.86%,64.84%,65.51%
18,Green Bay,64.82%,64.11%,69.01%,60.19%,68.47%,69.64%
19,NY Jets,64.82%,55.52%,66.09%,69.13%,58.02%,67.99%
20,Detroit,64.33%,63.96%,70.55%,64.76%,63.74%,65.61%
21,Jacksonville,63.73%,73.24%,88.55%,70.10%,57.60%,66.19%
22,Pittsburgh,63.72%,53.37%,46.75%,60.65%,66.19%,70.83%
23,Washington,62.73%,51.32%,43.95%,64.52%,60.94%,62.54%
24,Dallas,60.60%,63.41%,60.70%,63.72%,57.07%,69.61%
25,Carolina,59.93%,48.93%,46.99%,57.62%,63.43%,63.75%
26,Cleveland,59.04%,64.06%,48.50%,57.65%,60.88%,57.33%
27,Tennessee,58.87%,79.79%,81.69%,71.32%,46.69%,58.80%
28,Philadelphia,57.49%,44.53%,27.40%,53.58%,62.30%,56.49%
29,NY Giants,54.40%,65.74%,70.00%,54.15%,54.70%,65.44%
30,Baltimore,54.30%,55.37%,60.96%,54.89%,53.87%,61.51%
31,Atlanta,49.26%,49.72%,49.70%,46.64%,52.32%,71.90%
32,Chicago,40.59%,44.84%,56.51%,35.01%,45.10%,61.38%
