Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Atlanta,0.2,0.3,0.0,0.2,0.2,0.0
2,NY Jets,0.1,0.0,0.0,0.0,0.2,0.1
2,Miami,0.1,0.3,0.0,0.0,0.2,0.1
2,Baltimore,0.1,0.0,0.0,0.2,0.0,0.0
2,Seattle,0.1,0.0,0.0,0.0,0.2,0.1
2,Minnesota,0.1,0.3,1.0,0.2,0.0,0.1
7,New England,0.1,0.3,0.0,0.2,0.0,0.0
8,Dallas,0.0,0.0,0.0,0.0,0.0,0.2
8,Washington,0.0,0.0,0.0,0.0,0.0,0.1
8,Pittsburgh,0.0,0.0,0.0,0.0,0.0,0.1
8,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0
8,Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0
8,Detroit,0.0,0.0,0.0,0.0,0.0,0.0
8,Chicago,0.0,0.0,0.0,0.0,0.0,0.1
8,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.1
8,San Francisco,0.0,0.0,0.0,0.0,0.0,0.1
8,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0
8,Cleveland,0.0,0.0,0.0,0.0,0.0,0.0
8,Houston,0.0,0.0,0.0,0.0,0.0,0.1
8,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.0
8,Arizona,0.0,0.0,0.0,0.0,0.0,0.0
8,Kansas City,0.0,0.0,0.0,0.0,0.0,0.0
8,Denver,0.0,0.0,0.0,0.0,0.0,0.0
8,Buffalo,0.0,0.0,0.0,0.0,0.0,0.0
8,Carolina,0.0,0.0,0.0,0.0,0.0,0.1
8,LA Chargers,0.0,0.0,0.0,0.0,0.0,0.1
8,NY Giants,0.0,0.0,0.0,0.0,0.0,0.0
8,LA Rams,0.0,0.0,0.0,0.0,0.0,0.0
8,Green Bay,0.0,0.0,0.0,0.0,0.0,0.0
8,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.0
8,Philadelphia,0.0,0.0,0.0,0.0,0.0,0.0
8,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.1
