Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Chicago,59.23%,58.33%,51.79%,60.00%,58.64%,44.19%
2,Atlanta,56.28%,51.79%,52.73%,60.22%,51.96%,39.07%
3,Philadelphia,52.07%,54.55%,62.03%,54.08%,49.70%,49.87%
4,Tennessee,52.00%,42.22%,37.50%,45.83%,57.27%,48.78%
5,NY Giants,50.35%,47.47%,35.59%,51.63%,48.71%,39.90%
6,Baltimore,49.49%,52.76%,51.47%,51.95%,47.48%,43.63%
7,Dallas,48.41%,50.46%,56.52%,47.67%,49.24%,40.39%
8,Cleveland,47.11%,40.98%,45.33%,49.03%,44.71%,46.02%
9,Carolina,46.53%,60.11%,70.77%,49.51%,42.12%,41.14%
10,San Francisco,45.99%,50.52%,43.28%,48.17%,43.93%,48.39%
11,Washington,45.63%,60.58%,61.67%,43.54%,47.65%,44.58%
12,Detroit,44.80%,50.79%,41.79%,41.44%,48.74%,40.44%
13,New England,43.82%,32.12%,27.45%,44.25%,43.43%,45.73%
14,Jacksonville,42.02%,38.42%,32.79%,42.22%,41.85%,38.13%
15,Seattle,41.47%,38.80%,36.51%,38.84%,43.86%,43.29%
16,New Orleans,41.32%,39.61%,41.51%,45.65%,36.60%,48.53%
17,NY Jets,41.12%,51.74%,51.61%,38.52%,44.64%,36.68%
18,Green Bay,41.11%,46.75%,42.86%,46.32%,36.98%,41.39%
19,Pittsburgh,40.69%,48.13%,53.73%,45.71%,36.55%,36.56%
20,Denver,40.37%,37.50%,33.33%,43.15%,37.71%,43.92%
21,Buffalo,40.33%,47.60%,51.39%,39.18%,40.83%,40.79%
22,Arizona,38.64%,42.00%,53.13%,38.44%,38.82%,43.56%
23,Miami,38.38%,42.71%,36.11%,39.25%,37.34%,40.29%
24,Las Vegas,38.36%,43.35%,51.95%,43.31%,35.43%,37.12%
25,Cincinnati,37.95%,44.83%,42.42%,42.03%,35.13%,40.52%
26,LA Rams,37.56%,44.07%,50.91%,34.68%,41.24%,40.69%
27,Indianapolis,37.53%,44.26%,40.32%,38.02%,37.06%,47.43%
28,Houston,37.15%,28.49%,24.14%,38.16%,36.34%,41.58%
29,Kansas City,36.89%,42.86%,41.67%,33.01%,41.80%,37.64%
30,Minnesota,36.20%,34.67%,40.91%,40.26%,31.25%,41.46%
31,LA Chargers,33.92%,31.89%,20.31%,32.94%,34.76%,37.50%
32,Tampa Bay,33.61%,38.36%,30.30%,23.35%,42.14%,33.54%
