Rank,Team,2021 punts-got-blocked-per-game
1,Dallas,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Las Vegas,0.0
1,Detroit,0.0
1,Chicago,0.0
1,San Francisco,0.0
1,Miami,0.0
1,Tennessee,0.0
1,Cleveland,0.0
1,Houston,0.0
1,Tampa Bay,0.0
1,Arizona,0.0
1,Kansas City,0.0
1,Denver,0.0
1,NY Giants,0.0
1,LA Rams,0.0
1,Cincinnati,0.0
1,Baltimore,0.0
1,Seattle,0.0
1,Philadelphia,0.0
1,Indianapolis,0.0
23,Buffalo,0.1
24,Green Bay,0.1
25,Atlanta,0.1
25,Washington,0.1
25,Jacksonville,0.1
25,NY Jets,0.1
25,LA Chargers,0.1
25,Minnesota,0.1
31,Carolina,0.1
32,New England,0.2
