Rank,Team,2021 extra-point-conversion-pct
1,Atlanta,100.00%
1,NY Giants,100.00%
1,Baltimore,100.00%
1,Philadelphia,100.00%
5,LA Rams,98.33%
6,Indianapolis,97.87%
7,Miami,97.14%
8,Denver,97.06%
9,Buffalo,96.77%
10,Detroit,96.43%
10,Chicago,96.43%
12,Cincinnati,96.36%
13,Green Bay,96.15%
14,Arizona,95.92%
15,Tampa Bay,95.45%
16,Cleveland,94.87%
17,Kansas City,93.94%
18,Pittsburgh,93.75%
19,Seattle,93.62%
20,Carolina,92.86%
21,San Francisco,92.16%
22,Tennessee,91.67%
23,Las Vegas,91.18%
24,Minnesota,90.00%
25,New England,89.80%
26,Dallas,89.09%
27,Washington,86.21%
27,Houston,86.21%
29,NY Jets,85.19%
30,LA Chargers,85.11%
31,Jacksonville,81.82%
32,New Orleans,81.58%
