Rank,Team,2021 third-down-conversion-pct
1,Kansas City,53.31%
2,Buffalo,47.33%
3,LA Chargers,45.25%
4,Philadelphia,45.11%
5,Tampa Bay,44.80%
6,LA Rams,44.66%
7,New England,43.95%
8,Arizona,43.48%
9,Green Bay,43.46%
10,Dallas,42.98%
11,Tennessee,42.62%
12,Indianapolis,40.95%
13,Miami,40.77%
14,San Francisco,40.09%
15,Cincinnati,40.08%
16,Houston,39.75%
17,Pittsburgh,39.22%
18,Cleveland,39.15%
19,Atlanta,38.86%
20,Washington,38.84%
21,Denver,38.50%
22,Las Vegas,37.95%
23,Seattle,37.31%
24,NY Giants,36.52%
25,Baltimore,36.44%
26,Minnesota,36.40%
27,NY Jets,36.32%
28,Jacksonville,35.85%
29,Carolina,35.74%
30,New Orleans,35.45%
31,Detroit,34.74%
32,Chicago,34.72%
