Rank,Team,2021 opponent-red-zone-scoring-pct
1,New Orleans,43.48%
2,Denver,50.00%
3,Seattle,50.82%
4,Tennessee,51.67%
5,NY Giants,52.11%
6,Tampa Bay,52.31%
7,Miami,52.63%
8,LA Rams,53.13%
9,New England,53.70%
10,Buffalo,53.85%
11,Pittsburgh,53.97%
12,Baltimore,54.00%
13,San Francisco,54.29%
14,Chicago,55.56%
15,Minnesota,55.93%
16,Kansas City,57.58%
17,Cincinnati,57.97%
18,Washington,59.32%
19,NY Jets,60.81%
20,Dallas,61.70%
21,Arizona,61.82%
22,Houston,62.12%
23,Green Bay,62.26%
24,Jacksonville,62.30%
25,Atlanta,63.77%
26,Indianapolis,64.15%
27,LA Chargers,64.18%
28,Cleveland,65.38%
29,Philadelphia,66.15%
30,Carolina,67.31%
31,Detroit,70.00%
32,Las Vegas,77.08%
