Rank,Team,2021 field-goals-made-per-game
1,Las Vegas,2.4
2,Baltimore,2.1
3,New England,2.1
4,Cincinnati,2.0
5,Pittsburgh,2.0
6,Minnesota,1.9
7,LA Rams,1.9
8,Arizona,1.7
9,NY Giants,1.7
9,Indianapolis,1.7
11,Dallas,1.7
11,Philadelphia,1.7
13,San Francisco,1.7
14,Washington,1.6
15,Kansas City,1.6
16,Atlanta,1.6
17,Detroit,1.5
17,Chicago,1.5
17,Denver,1.5
17,Carolina,1.5
21,Tennessee,1.5
22,Tampa Bay,1.5
22,Buffalo,1.5
24,New Orleans,1.5
25,Green Bay,1.4
26,LA Chargers,1.4
27,Miami,1.4
28,Jacksonville,1.2
28,NY Jets,1.2
28,Houston,1.2
31,Seattle,1.0
32,Cleveland,0.9
