Rank,Team,2021 offensive-point-share-pct
1,Detroit,100.0%
2,Las Vegas,99.5%
3,Buffalo,98.8%
4,Denver,97.9%
5,Seattle,97.7%
6,Tampa Bay,97.6%
7,LA Rams,97.5%
8,Cincinnati,97.5%
9,LA Chargers,97.1%
10,Carolina,97.0%
11,Arizona,97.0%
12,Green Bay,97.0%
13,NY Giants,96.5%
14,Baltimore,96.4%
15,New Orleans,96.3%
16,Pittsburgh,96.2%
17,Cleveland,96.0%
18,San Francisco,95.7%
19,New England,95.6%
20,NY Jets,95.6%
21,Kansas City,95.3%
22,Indianapolis,94.9%
23,Atlanta,94.9%
24,Houston,94.3%
25,Washington,93.9%
26,Tennessee,93.6%
27,Minnesota,93.6%
28,Chicago,92.6%
29,Philadelphia,92.3%
30,Jacksonville,91.9%
31,Dallas,88.6%
32,Miami,87.7%
