Rank,Team,2021 field-goal-conversion-pct-net-of-blocks
1,Baltimore,94.59%
2,Philadelphia,93.75%
3,Las Vegas,93.62%
4,Washington,93.33%
5,Atlanta,93.10%
6,Carolina,92.86%
7,New England,92.50%
8,LA Rams,90.91%
9,Pittsburgh,90.00%
10,Chicago,89.66%
11,Cincinnati,89.58%
12,LA Chargers,88.89%
13,NY Giants,87.88%
14,Buffalo,87.50%
15,San Francisco,86.84%
15,Minnesota,86.84%
17,Detroit,86.67%
17,Denver,86.67%
19,Kansas City,86.49%
20,Indianapolis,85.29%
21,Dallas,83.33%
21,New Orleans,83.33%
23,Miami,82.14%
24,Tennessee,81.82%
25,Arizona,81.58%
26,Houston,80.77%
27,Tampa Bay,80.00%
28,Green Bay,78.79%
29,Jacksonville,77.78%
29,NY Jets,77.78%
31,Cleveland,76.19%
32,Seattle,73.91%
