Rank,Team,2021 time-of-possession-pct-net-of-ot
1,Green Bay,54.38%
2,Tennessee,53.86%
3,Baltimore,53.67%
4,Indianapolis,53.17%
5,Buffalo,52.35%
6,Arizona,51.44%
7,Kansas City,51.42%
8,Denver,51.34%
9,Cleveland,51.34%
10,Washington,51.22%
11,Carolina,51.22%
12,Cincinnati,51.17%
13,New Orleans,51.04%
14,New England,50.68%
15,Chicago,50.55%
16,Miami,50.50%
17,San Francisco,50.49%
18,Tampa Bay,50.33%
19,Dallas,50.20%
20,LA Rams,49.95%
21,Philadelphia,49.60%
22,Las Vegas,49.31%
23,LA Chargers,48.92%
24,Pittsburgh,48.90%
25,Minnesota,48.53%
26,Detroit,48.08%
27,NY Giants,47.35%
28,Houston,47.06%
29,Atlanta,46.94%
30,NY Jets,45.87%
31,Jacksonville,45.60%
32,Seattle,42.15%
