Rank,Team,2021 field-goals-got-blocked-per-game
1,Dallas,0.0
1,Atlanta,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Las Vegas,0.0
1,Detroit,0.0
1,Jacksonville,0.0
1,San Francisco,0.0
1,NY Jets,0.0
1,Tennessee,0.0
1,Tampa Bay,0.0
1,Arizona,0.0
1,New England,0.0
1,Kansas City,0.0
1,Buffalo,0.0
1,LA Chargers,0.0
1,NY Giants,0.0
1,LA Rams,0.0
1,Cincinnati,0.0
1,Baltimore,0.0
1,Seattle,0.0
1,Minnesota,0.0
23,Philadelphia,0.1
24,Chicago,0.1
24,Cleveland,0.1
24,Houston,0.1
24,Denver,0.1
24,Carolina,0.1
24,Indianapolis,0.1
30,Green Bay,0.2
31,Washington,0.2
31,Miami,0.2
