Rank,Team,2021 red-zone-scoring-attempts-per-game
1,Buffalo,4.5
2,LA Chargers,4.4
3,LA Rams,4.2
4,Kansas City,4.1
5,Green Bay,4.1
6,Tampa Bay,4.0
7,Indianapolis,3.8
8,Dallas,3.7
8,Arizona,3.7
10,Las Vegas,3.6
10,New England,3.6
12,Tennessee,3.6
13,Philadelphia,3.4
14,New Orleans,3.3
14,Baltimore,3.3
16,Atlanta,3.2
17,Cincinnati,3.1
18,Denver,3.1
18,Minnesota,3.1
20,NY Jets,3.0
21,San Francisco,3.0
22,Pittsburgh,2.9
23,Washington,2.9
23,Cleveland,2.9
25,Miami,2.9
26,Chicago,2.8
26,Seattle,2.8
28,Carolina,2.8
29,Detroit,2.6
30,Jacksonville,2.3
31,NY Giants,2.2
32,Houston,2.2
