Rank,Team,2021 opponent-field-goal-conversion-pct
1,New England,66.67%
2,Baltimore,75.00%
3,San Francisco,75.76%
4,Denver,77.42%
5,Cincinnati,78.95%
6,Indianapolis,81.48%
7,New Orleans,81.58%
8,Seattle,81.82%
9,Tennessee,83.33%
9,Arizona,83.33%
11,Las Vegas,83.78%
11,Miami,83.78%
13,Dallas,84.21%
14,Minnesota,85.00%
15,Tampa Bay,85.71%
15,Kansas City,85.71%
17,Carolina,86.49%
18,Houston,87.50%
18,Green Bay,87.50%
20,Detroit,87.80%
20,LA Rams,87.80%
22,Philadelphia,88.00%
23,Jacksonville,88.89%
24,Buffalo,89.29%
25,Pittsburgh,89.47%
25,NY Giants,89.47%
27,Chicago,90.00%
28,LA Chargers,91.43%
29,NY Jets,92.31%
30,Atlanta,92.86%
31,Washington,93.10%
32,Cleveland,96.30%
