Rank,Team,2021 rushing-attempts-per-game
1,Tennessee,32.1
2,Philadelphia,31.5
3,Baltimore,30.4
4,New Orleans,30.0
5,Indianapolis,29.4
6,San Francisco,29.3
7,Arizona,28.6
8,Cleveland,28.5
9,New England,28.3
10,Washington,28.1
11,Chicago,27.9
12,Dallas,27.4
13,Buffalo,27.1
14,Denver,26.8
14,Carolina,26.8
16,Minnesota,26.4
17,Miami,26.0
18,Green Bay,25.9
19,LA Rams,25.7
20,Kansas City,25.2
21,Detroit,25.1
22,Cincinnati,25.0
23,LA Chargers,24.9
24,Houston,24.7
25,NY Giants,24.6
26,Seattle,24.3
27,Pittsburgh,23.9
28,Las Vegas,23.8
29,Atlanta,23.1
30,Jacksonville,23.1
31,Tampa Bay,22.6
32,NY Jets,22.4
