Rank,Team,2021 field-goal-conversion-pct
1,Baltimore,94.59%
2,Las Vegas,93.62%
3,Atlanta,93.10%
4,New England,92.50%
5,LA Rams,90.91%
5,Philadelphia,90.91%
7,Pittsburgh,90.00%
8,Carolina,89.66%
9,Cincinnati,89.58%
10,LA Chargers,88.89%
11,NY Giants,87.88%
12,Buffalo,87.50%
13,San Francisco,86.84%
13,Minnesota,86.84%
15,Detroit,86.67%
15,Chicago,86.67%
17,Kansas City,86.49%
18,Washington,84.85%
19,Denver,83.87%
20,Dallas,83.33%
20,New Orleans,83.33%
22,Indianapolis,82.86%
23,Tennessee,81.82%
24,Arizona,81.58%
25,Tampa Bay,80.00%
26,Jacksonville,77.78%
26,NY Jets,77.78%
26,Houston,77.78%
29,Miami,74.19%
30,Seattle,73.91%
31,Cleveland,72.73%
32,Green Bay,72.22%
