Rank,Team,2021 safeties-per-game
1,Dallas,0.0
1,Washington,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Detroit,0.0
1,Jacksonville,0.0
1,San Francisco,0.0
1,NY Jets,0.0
1,Miami,0.0
1,Tennessee,0.0
1,Cleveland,0.0
1,Tampa Bay,0.0
1,Arizona,0.0
1,New England,0.0
1,Kansas City,0.0
1,Denver,0.0
1,Buffalo,0.0
1,LA Chargers,0.0
1,LA Rams,0.0
1,Green Bay,0.0
1,Cincinnati,0.0
1,Baltimore,0.0
1,Philadelphia,0.0
1,Minnesota,0.0
25,Las Vegas,0.1
26,Atlanta,0.1
26,Chicago,0.1
26,Houston,0.1
26,Carolina,0.1
26,NY Giants,0.1
26,Seattle,0.1
26,Indianapolis,0.1
