Rank,Team,2021 red-zone-scoring-pct
1,Buffalo,66.28%
2,Tampa Bay,65.79%
3,Seattle,64.58%
4,San Francisco,64.41%
5,LA Chargers,64.00%
6,Dallas,63.64%
7,New England,63.08%
8,Philadelphia,62.90%
9,Tennessee,62.50%
10,Minnesota,62.26%
11,Kansas City,62.20%
12,Cleveland,62.00%
13,Miami,61.22%
14,Baltimore,60.71%
15,Arizona,60.61%
16,LA Rams,59.09%
17,New Orleans,58.93%
18,Green Bay,57.53%
19,Indianapolis,56.25%
20,NY Jets,54.90%
21,Pittsburgh,54.72%
21,Denver,54.72%
23,Cincinnati,54.55%
24,Atlanta,53.70%
25,Carolina,53.19%
26,Washington,52.00%
27,Houston,51.35%
28,Jacksonville,51.28%
29,Las Vegas,49.23%
30,Chicago,47.92%
31,Detroit,46.67%
32,NY Giants,44.74%
