Rank,Team,2019 opponent-time-of-possession-pct-net-of-ot
1,Baltimore,42.66%
2,Philadelphia,45.29%
3,New Orleans,46.63%
4,New England,47.44%
5,San Francisco,47.63%
6,Green Bay,47.77%
7,Las Vegas,48.30%
8,Atlanta,48.45%
9,Tampa Bay,48.48%
10,Seattle,49.13%
11,Jacksonville,49.19%
12,LA Chargers,49.22%
13,Chicago,49.55%
14,Houston,49.60%
15,Indianapolis,49.69%
16,Buffalo,49.94%
17,Cleveland,50.48%
18,Dallas,50.76%
19,Kansas City,50.90%
20,Cincinnati,50.96%
21,Denver,51.10%
22,LA Rams,51.64%
23,Carolina,51.82%
24,NY Jets,51.86%
25,Detroit,51.88%
26,Pittsburgh,52.01%
27,Tennessee,52.15%
28,Minnesota,52.27%
29,Miami,52.51%
30,NY Giants,52.74%
31,Arizona,54.43%
32,Washington,54.68%
