Rank,Team,2019 offensive-points-per-game
1,Baltimore,29.6
2,Kansas City,28.5
3,San Francisco,27.9
4,Dallas,26.6
5,New Orleans,26.6
6,Tampa Bay,26.1
7,Minnesota,24.1
8,Seattle,24.0
9,Green Bay,23.5
10,Tennessee,23.2
11,Atlanta,23.1
12,Houston,22.9
13,LA Rams,22.9
14,New England,22.8
15,Arizona,22.4
16,Philadelphia,22.1
17,Indianapolis,21.2
18,Cleveland,20.9
18,Carolina,20.9
20,LA Chargers,20.6
21,Detroit,20.2
21,NY Giants,20.2
23,Buffalo,19.0
24,Las Vegas,18.9
25,Miami,18.3
26,Jacksonville,18.0
27,Denver,17.3
28,Cincinnati,16.9
29,Chicago,16.6
30,Washington,16.5
31,Pittsburgh,16.4
32,NY Jets,14.5
