Rank,Team,2019 3rd-quarter-time-of-possession-share-pct
1,Baltimore,58.73%
2,NY Giants,56.38%
3,San Francisco,55.94%
4,Cincinnati,55.31%
5,Jacksonville,54.67%
6,Green Bay,54.41%
7,New Orleans,53.86%
8,Philadelphia,53.16%
9,Tampa Bay,52.76%
10,Detroit,52.63%
11,Chicago,51.97%
12,Atlanta,51.51%
13,Indianapolis,50.59%
14,New England,50.35%
15,Denver,50.19%
16,Seattle,50.15%
17,Carolina,49.89%
18,Tennessee,49.46%
19,Pittsburgh,49.26%
20,Las Vegas,48.53%
21,Minnesota,48.51%
22,LA Chargers,48.28%
23,LA Rams,47.65%
24,Buffalo,47.42%
25,Dallas,47.40%
26,Kansas City,47.19%
27,Houston,46.40%
28,Washington,46.34%
29,Cleveland,45.82%
30,NY Jets,43.04%
31,Miami,40.64%
32,Arizona,40.27%
