Rank,Team,2019 punts-got-blocked-per-game
1,Washington,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Las Vegas,0.0
1,Detroit,0.0
1,Jacksonville,0.0
1,San Francisco,0.0
1,NY Jets,0.0
1,Miami,0.0
1,Tennessee,0.0
1,Houston,0.0
1,Tampa Bay,0.0
1,New England,0.0
1,Denver,0.0
1,Carolina,0.0
1,LA Chargers,0.0
1,Green Bay,0.0
1,Cincinnati,0.0
1,Seattle,0.0
1,Philadelphia,0.0
1,Minnesota,0.0
1,Indianapolis,0.0
23,Buffalo,0.1
23,Baltimore,0.1
25,Dallas,0.1
25,Atlanta,0.1
25,Chicago,0.1
25,Cleveland,0.1
25,Arizona,0.1
25,LA Rams,0.1
31,Kansas City,0.1
32,NY Giants,0.1
