Rank,Team,2019 third-downs-per-game
1,New England,14.1
1,Philadelphia,14.1
3,Cincinnati,13.9
4,Detroit,13.8
4,Jacksonville,13.8
6,Buffalo,13.7
7,Tampa Bay,13.6
8,Chicago,13.5
9,NY Jets,13.3
9,NY Giants,13.3
11,LA Rams,13.0
12,Atlanta,12.9
12,Miami,12.9
12,Carolina,12.9
12,Indianapolis,12.9
16,Dallas,12.8
17,Denver,12.6
18,Las Vegas,12.6
19,Green Bay,12.6
20,Seattle,12.4
20,Minnesota,12.4
22,Arizona,12.3
23,Houston,12.3
24,Cleveland,12.3
25,Pittsburgh,12.2
26,LA Chargers,12.1
27,San Francisco,12.1
28,Baltimore,12.1
29,New Orleans,11.9
30,Tennessee,11.6
31,Kansas City,11.5
32,Washington,11.2
