Rank,Team,2019 opponent-field-goal-conversion-pct-net-of-blocks
1,Buffalo,69.23%
2,LA Chargers,69.70%
3,Chicago,76.67%
3,Cleveland,76.67%
5,Las Vegas,76.92%
6,Seattle,77.78%
7,NY Giants,78.13%
8,Detroit,79.41%
8,Carolina,79.41%
10,LA Rams,80.00%
11,Pittsburgh,80.65%
12,Dallas,81.25%
13,Miami,81.58%
14,NY Jets,82.35%
15,Washington,83.33%
15,Kansas City,83.33%
17,Green Bay,83.78%
18,Arizona,84.38%
19,Jacksonville,84.62%
20,Tampa Bay,86.05%
21,San Francisco,86.36%
22,Minnesota,86.84%
23,Atlanta,88.24%
23,Cincinnati,88.24%
25,Philadelphia,88.89%
26,Tennessee,89.29%
27,New England,89.47%
27,Denver,89.47%
29,Houston,89.66%
30,New Orleans,92.31%
31,Baltimore,93.10%
32,Indianapolis,93.55%
