Rank,Team,2019 rushing-attempts-per-game
1,Baltimore,36.8
2,San Francisco,32.1
3,Seattle,29.5
4,Indianapolis,29.4
5,Minnesota,29.2
6,Buffalo,29.1
7,Tennessee,28.7
8,Philadelphia,28.2
9,Dallas,28.1
10,New England,27.6
11,Las Vegas,27.3
12,Houston,27.1
13,Tampa Bay,25.6
13,Denver,25.6
15,Detroit,25.4
16,Green Bay,25.4
17,LA Rams,25.1
18,New Orleans,24.8
19,Arizona,24.8
20,Pittsburgh,24.7
20,Chicago,24.7
22,Cleveland,24.6
23,Jacksonville,24.3
24,Carolina,24.1
25,Cincinnati,24.1
26,NY Jets,23.9
27,Kansas City,23.8
28,LA Chargers,22.9
29,Atlanta,22.6
29,NY Giants,22.6
31,Washington,22.3
32,Miami,21.8
