Rank,Team,2019 opponent-red-zone-scoring-pct
1,Denver,39.13%
2,Minnesota,45.45%
3,Cincinnati,49.02%
4,Pittsburgh,50.00%
4,Tampa Bay,50.00%
6,Dallas,50.88%
7,Baltimore,51.06%
8,New England,51.61%
9,Indianapolis,52.00%
10,Kansas City,53.03%
11,Green Bay,53.70%
12,NY Jets,54.17%
13,Chicago,54.72%
14,Buffalo,55.56%
14,Philadelphia,55.56%
16,Jacksonville,57.14%
17,NY Giants,57.41%
18,Detroit,57.89%
19,Atlanta,58.49%
20,Arizona,59.68%
21,LA Chargers,60.00%
22,Seattle,60.34%
23,New Orleans,60.78%
24,Washington,61.02%
25,Cleveland,61.40%
26,San Francisco,62.50%
27,Miami,62.71%
28,Tennessee,63.16%
29,LA Rams,63.46%
30,Carolina,64.06%
31,Las Vegas,67.27%
32,Houston,72.88%
