Rank,Team,2019 offensive-point-share-pct
1,Arizona,100.0%
1,Green Bay,100.0%
3,Dallas,98.4%
4,Cleveland,97.9%
5,LA Chargers,97.9%
6,Denver,97.5%
7,Washington,97.4%
8,Buffalo,97.3%
9,Carolina,96.8%
10,Cincinnati,96.8%
11,Minnesota,96.4%
12,Las Vegas,95.6%
13,Jacksonville,95.4%
13,Seattle,95.4%
15,Houston,95.2%
16,Kansas City,95.1%
17,Miami,94.8%
18,Philadelphia,94.7%
19,Atlanta,94.6%
20,Chicago,94.3%
21,Detroit,93.9%
22,San Francisco,93.8%
23,New Orleans,93.8%
24,NY Giants,93.4%
25,Indianapolis,93.1%
26,LA Rams,92.4%
27,Tennessee,92.2%
28,Baltimore,92.0%
29,Tampa Bay,90.8%
30,Pittsburgh,90.3%
31,New England,88.4%
32,NY Jets,83.5%
