Rank,Team,2019 red-zone-scoring-attempts-per-game
1,Baltimore,4.0
2,San Francisco,3.8
3,Atlanta,3.8
4,New England,3.7
5,LA Rams,3.7
6,Seattle,3.6
7,Indianapolis,3.5
8,New Orleans,3.5
9,Kansas City,3.4
10,Minnesota,3.4
11,Dallas,3.4
11,Tampa Bay,3.4
13,Philadelphia,3.4
14,Las Vegas,3.3
14,Arizona,3.3
14,LA Chargers,3.3
17,Houston,3.3
18,Cleveland,3.1
18,Carolina,3.1
20,Green Bay,3.1
21,Miami,3.0
21,Cincinnati,3.0
23,Jacksonville,2.9
24,Chicago,2.9
25,Tennessee,2.8
26,Buffalo,2.7
27,Detroit,2.6
27,Denver,2.6
27,NY Giants,2.6
30,Washington,2.6
31,Pittsburgh,2.5
32,NY Jets,2.1
